timeframe,split,MSE,MAE,RMSE
1m,train,196.2273090197497,10.00928015341337,14.008115826896553
1m,valid,148.95321731052888,9.34127268674709,12.204639171664555
1m,test,182.2733212539457,10.165060762459426,13.500863722515893
5m,train,2611.235154791673,35.68253207355606,51.100246132398155
5m,valid,1748.3388513255068,31.03221534839439,41.813142088648476
5m,test,2057.4893373055384,33.974421383507035,45.359556185059155
15m,train,19393.047621005517,96.67316159577302,139.25892294932314
15m,valid,9438.377461725655,73.570213709316,97.15131219765205
15m,test,16443.02001007473,96.01276293130638,128.2303396629469
