timeframe,split,MSE,MAE,RMSE
1m,train,193.10628487566703,9.814004771996618,13.896268739329527
1m,valid,148.02778883121553,9.296519103273328,12.166667120917525
1m,test,176.0149746538105,10.092374268898466,13.267063527917943
5m,train,2446.9697223114094,34.26198541038962,49.46685478491037
5m,valid,1705.745381255795,30.69893142480182,41.30067046980951
5m,test,1927.8839840904745,32.87770205650866,43.90767568535682
15m,train,15525.310051644286,86.5218828104711,124.60060213194913
15m,valid,8969.129650461417,72.93234857959905,94.70548901970474
15m,test,12965.336792079373,81.59284999334501,113.86543282348411
